"Image","ID","Title","Estimated Price","Description"
"images/bulbs/B001.png","B001","Philips 9W LED Bulb","150","Energy-efficient LED bulb with 800 lumens output"
"images/bulbs/B002.png","B002","Havells 12W LED Bulb","200","High-quality LED bulb with adjustable brightness"
"images/bulbs/B003.png","B003","Girish 7W LED Bulb","120","Compact LED bulb with warm white light"
"images/bulbs/B004.png","B004","Osram 10W LED Bulb","180","Durable LED bulb with high color rendering index"
"images/bulbs/B005.png","B005","Philips 100W Halogen Bulb","80","High-intensity halogen bulb with long lifespan"
"images/bulbs/B006.png","B006","Havells 20W CFL Bulb","150","Energy-efficient CFL bulb with soft white light"
"images/bulbs/B007.png","B007","Girish Smart LED Bulb","300","Wi-Fi enabled smart LED bulb with voice control"
"images/bulbs/B008.png","B008","Osram Smart LED Bulb","350","Bluetooth-enabled smart LED bulb with dimming feature"
"images/bulbs/B009.png","B009","Philips 20W Tube Light","200","High-quality tube light with energy-efficient technology"
"images/bulbs/B010.png","B010","Havells 18W Tube Light","180","Durable tube light with high lumen output"
"images/bulbs/B011.png","B011","Girish 15W LED Bulb","250","Energy-efficient LED bulb with cool white light"
"images/bulbs/B012.png","B012","Osram 12W LED Bulb","220","High-quality LED bulb with adjustable color temperature"
"images/bulbs/B013.png","B013","Philips 10W LED Bulb","200","Energy-efficient LED bulb with warm white light"
"images/bulbs/B014.png","B014","Havells 9W LED Bulb","180","Compact LED bulb with high lumen output"
"images/bulbs/B015.png","B015","Girish 8W LED Bulb","150","Durable LED bulb with cool white light"
"images/bulbs/B016.png","B016","Osram 11W LED Bulb","250","High-quality LED bulb with adjustable brightness"
"images/bulbs/B017.png","B017","Philips 12W LED Bulb","280","Energy-efficient LED bulb with high color rendering index"
"images/bulbs/B018.png","B018","Havells 10W LED Bulb","220","Compact LED bulb with warm white light"
"images/bulbs/B019.png","B019","Girish 9W LED Bulb","200","Durable LED bulb with cool white light"
