"Image","ID","Title","Estimated Price","Description"
"images/switches/E001.png","E001","Girish 1 Gang Switch","150","High-quality 1 gang switch with durable design"
"images/switches/E002.png","E002","Legrand 2 Gang Switch","300","Durable 2 gang switch with sleek design"
"images/switches/E003.png","E003","Havells 1.5mm² Wire","500","High-quality electrical wire with durable insulation"
"images/switches/E004.png","E004","Finolex 20mm Pipe","200","Durable electrical fitting pipe with high impact resistance"
"images/switches/E005.png","E005","Girish 1 Gang Socket","200","High-quality 1 gang socket with durable design"
"images/switches/E006.png","E006","Legrand Ceiling Rose","400","Durable ceiling rose with high-quality terminals"
"images/switches/E007.png","E007","Havells 10A MCB","800","High-quality miniature circuit breaker with durable design"
"images/switches/E008.png","E008","Finolex 25mm Conduit","300","Durable electrical conduit with high impact resistance"
"images/switches/E009.png","E009","Girish Dimmer Switch","500","High-quality dimmer switch with sleek design"
"images/switches/E010.png","E010","Legrand Fan Regulator","400","Durable fan regulator with high-quality components"
"images/switches/E011.png","E011","Havells 10A Fuse","100","High-quality fuse with durable design"
"images/switches/E012.png","E012","Finolex Cable Tie","50","Durable cable tie with high-quality material"
"images/switches/E013.png","E013","Girish Step Switch","300","High-quality step switch with durable design"
"images/switches/E014.png","E014","Legrand Power Socket","500","Durable power socket with high-quality terminals"
"images/switches/E015.png","E015","Havells Electrical Box","200","High-quality electrical box with durable design"
"images/switches/E016.png","E016","Finolex PVC Pipe","300","Durable PVC pipe with high impact resistance"
"images/switches/E017.png","E017","Girish-Legrand Combo Pack","800","Combo pack of 1 gang switch and 1 gang socket"
"images/switches/E018.png","E018","Havells Fan Regulator","500","Durable fan regulator with high-quality components"
"images/switches/E019.png","E019","Finolex Cable Management","300","Durable cable management system with high-quality material"
"images/switches/E020.png","E020","Girish Dimmer Module","600","High-quality dimmer module with sleek design"
"images/switches/E021.png","E021","Legrand Power Distribution","1000","Durable power distribution system with high-quality components"
"images/switches/E022.png","E022","Havells Electrical Accessories","800","High-quality electrical accessories with durable design"
"images/switches/E023.png","E023","Finolex Pipe Fittings","400","Durable pipe fittings with high-quality material"
"images/switches/E024.png","E024","Girish Switch Board","300","High-quality switch board with durable design"
"images/switches/E025.png","E025","Legrand Electrical Components","1000","Durable electrical components with high-quality material"
"images/switches/E026.png","E026","Havells MCB Circuit Breaker","1200","High-quality MCB circuit breaker with durable design"
"images/switches/E027.png","E027","Finolex Cable Ties","200","Durable cable ties with high-quality material"
"images/switches/E028.png","E028","Girish Electrical Accessories","800","High-quality electrical accessories with durable design"
"images/switches/E029.png","E029","Legrand Switchgear","1500","Durable switchgear with high-quality components"
"images/switches/E030.png","E030","Havells Electrical Panel","1200","High-quality electrical panel with durable design"
