"Image","ID","Title","Estimated Price","Description"
"images/lights/L001.png","L001","Philips LED Light","500","Energy-efficient LED light with high lumen output"
"images/lights/L002.png","L002","Havells LED Light","600","High-quality LED light with adjustable brightness"
"images/lights/L003.png","L003","Girish LED Light","400","Compact LED light with warm white light"
"images/lights/L004.png","L004","Osram LED Light","700","Durable LED light with high color rendering index"
"images/lights/L005.png","L005","Philips Flood Light","1000","High-intensity flood light with energy-efficient technology"
"images/lights/L006.png","L006","Havells Flood Light","1200","High-quality flood light with adjustable brightness"
"images/lights/L007.png","L007","Girish Panel Light","800","Compact panel light with energy-efficient technology"
"images/lights/L008.png","L008","Osram Panel Light","900","Durable panel light with high lumen output"
"images/lights/L009.png","L009","Philips Tube Light","400","High-quality tube light with energy-efficient technology"
"images/lights/L010.png","L010","Havells Tube Light","500","Durable tube light with high lumen output"
"images/lights/L011.png","L011","Girish LED Light","600","Energy-efficient LED light with cool white light"
"images/lights/L012.png","L012","Osram LED Light","800","High-quality LED light with adjustable color temperature"
"images/lights/L013.png","L013","Philips Spot Light","300","Compact spot light with energy-efficient technology"
"images/lights/L014.png","L014","Havells Spot Light","400","High-quality spot light with adjustable brightness"
"images/lights/L015.png","L015","Girish String Light","200","Energy-efficient string light with warm white light"
"images/lights/L016.png","L016","Osram String Light","300","Durable string light with high color rendering index"
"images/lights/L017.png","L017","Philips Down Light","500","High-quality down light with energy-efficient technology"
"images/lights/L018.png","L018","Havells Down Light","600","Durable down light with high lumen output"
"images/lights/L019.png","L019","Girish LED Strip","400","Energy-efficient LED strip with cool white light"
"images/lights/L020.png","L020","Osram LED Strip","500","High-quality LED strip with adjustable color temperature"
