"Image","ID","Title","Estimated Price","Description"
"images/fans/F001.png","F001","Havells 1200mm Ceiling Fan","2500","High-quality ceiling fan with energy-efficient motor"
"images/fans/F002.png","F002","Orient 1400mm Ceiling Fan","3000","Durable ceiling fan with high airflow"
"images/fans/F003.png","F003","Usha 1000mm Ceiling Fan","2000","Compact ceiling fan with adjustable speed"
"images/fans/F004.png","F004","Crompton 1200mm Ceiling Fan","2800","High-performance ceiling fan with energy-efficient technology"
"images/fans/F005.png","F005","Havells Table Fan","1500","Portable table fan with adjustable speed"
"images/fans/F006.png","F006","Orient Table Fan","1800","Compact table fan with high airflow"
"images/fans/F007.png","F007","Usha Exhaust Fan","1200","Durable exhaust fan with energy-efficient motor"
"images/fans/F008.png","F008","Crompton Exhaust Fan","1500","High-quality exhaust fan with adjustable speed"
"images/fans/F009.png","F009","Havells Pedestal Fan","2500","High-performance pedestal fan with energy-efficient technology"
"images/fans/F010.png","F010","Orient Pedestal Fan","3000","Durable pedestal fan with high airflow"
"images/fans/F011.png","F011","Usha Wall Fan","1800","Compact wall fan with adjustable speed"
"images/fans/F012.png","F012","Crompton Wall Fan","2000","High-quality wall fan with energy-efficient motor"
"images/fans/F013.png","F013","Havells 1400mm Ceiling Fan","3200","High-performance ceiling fan with adjustable speed"
"images/fans/F014.png","F014","Orient 1200mm Ceiling Fan","2800","Durable ceiling fan with high airflow"
"images/fans/F015.png","F015","Usha 1000mm Ceiling Fan","2200","Compact ceiling fan with energy-efficient motor"
"images/fans/F016.png","F016","Crompton 1400mm Ceiling Fan","3500","High-quality ceiling fan with adjustable speed"
"images/fans/F017.png","F017","Havells Table Fan","1800","Portable table fan with high airflow"
"images/fans/F018.png","F018","Orient Table Fan","2000","Compact table fan with adjustable speed"
"images/fans/F019.png","F019","Usha Exhaust Fan","1500","Durable exhaust fan with energy-efficient motor"
"images/fans/F020.png","F020","Crompton Exhaust Fan","1800","High-quality exhaust fan with adjustable speed"
